Date,Open,High,Low,Close,Adj Close,Volume
2018-03-29,32.299999,32.299999,32.299999,32.299999,31.369322,100.0
2018-04-02,32.299999,32.299999,32.299999,32.299999,31.369322,100.0
2018-04-03,32.0,32.0,32.0,32.0,31.077967,100.0
2018-04-04,32.0,32.0,32.0,32.0,31.077967,104.76190476190476
2018-04-05,32.0,32.0,32.0,32.0,31.077967,109.52380952380952
2018-04-06,32.0,32.0,32.0,32.0,31.077967,114.28571428571428
2018-04-09,32.0,32.0,32.0,32.0,31.077967,119.04761904761905
2018-04-10,32.0,32.0,32.0,32.0,31.077967,123.80952380952381
2018-04-11,32.0,32.0,32.0,32.0,31.077967,128.57142857142856
2018-04-12,32.0,32.0,32.0,32.0,31.077967,133.33333333333334
2018-04-13,32.0,32.0,32.0,32.0,31.077967,138.0952380952381
2018-04-16,32.0,32.0,32.0,32.0,31.077967,142.85714285714286
2018-04-17,32.0,32.0,32.0,32.0,31.077967,147.61904761904762
2018-04-18,32.0,32.0,32.0,32.0,31.077967,152.38095238095238
2018-04-19,32.0,32.0,32.0,32.0,31.077967,157.14285714285714
2018-04-20,32.0,32.0,32.0,32.0,31.077967,161.9047619047619
2018-04-23,32.0,32.0,32.0,32.0,31.077967,166.66666666666669
2018-04-24,32.0,32.0,32.0,32.0,31.077967,171.42857142857144
2018-04-25,32.0,32.0,32.0,32.0,31.077967,176.1904761904762
2018-04-26,32.0,32.0,32.0,32.0,31.077967,180.95238095238096
2018-04-27,32.0,32.0,32.0,32.0,31.077967,185.71428571428572
2018-04-30,32.0,32.0,32.0,32.0,31.077967,190.47619047619048
2018-05-01,32.0,32.0,32.0,32.0,31.077967,195.23809523809524
2018-05-02,34.849998,34.849998,34.849998,34.849998,33.845848,200.0
2018-05-03,34.849998,34.849998,34.849998,34.849998,33.845848,200.0
2018-05-04,34.849998,34.849998,34.849998,34.849998,33.845848,200.0
2018-05-07,34.849998,34.849998,34.849998,34.849998,33.845848,200.0
2018-05-08,34.849998,34.849998,34.849998,34.849998,33.845848,200.0
2018-05-09,34.849998,34.849998,34.849998,34.849998,33.845848,200.0
2018-05-10,42.0,42.0,42.0,42.0,40.789833,200.0
2018-05-11,40.220001,40.220001,40.220001,40.220001,39.061119,100.0
2018-05-14,40.0,40.0,40.0,40.0,38.847458,200.0
2018-05-15,40.0,40.0,40.0,40.0,38.847458,166.66666666666666
2018-05-16,40.0,40.0,40.0,40.0,38.847458,133.33333333333331
2018-05-17,42.0,42.0,42.0,42.0,40.789833,100.0
2018-05-18,42.0,42.0,42.0,42.0,40.789833,140.0
2018-05-21,42.0,42.0,42.0,42.0,40.789833,180.0
2018-05-22,42.0,42.0,42.0,42.0,40.789833,220.0
2018-05-23,42.0,42.0,42.0,42.0,40.789833,260.0
2018-05-24,39.599998,39.599998,39.599998,39.599998,38.458981,300.0
2018-05-25,39.599998,39.599998,39.599998,39.599998,38.458981,283.3333333333333
2018-05-29,39.599998,39.599998,39.599998,39.599998,38.458981,266.6666666666667
2018-05-30,39.599998,39.599998,39.599998,39.599998,38.458981,250.0
2018-05-31,39.599998,39.599998,39.599998,39.599998,38.458981,233.33333333333331
2018-06-01,39.599998,39.599998,39.599998,39.599998,38.458981,216.66666666666666
2018-06-04,39.599998,39.599998,39.599998,39.599998,38.458981,200.0
2018-06-05,39.599998,39.599998,39.599998,39.599998,38.458981,183.33333333333331
2018-06-06,39.599998,39.599998,39.599998,39.599998,38.458981,166.66666666666666
2018-06-07,39.599998,39.599998,39.599998,39.599998,38.458981,150.0
2018-06-08,39.599998,39.599998,39.599998,39.599998,38.458981,133.33333333333331
2018-06-11,39.599998,39.599998,39.599998,39.599998,38.458981,116.66666666666666
2018-06-12,41.700001,41.700001,41.700001,41.700001,40.498478,100.0
2018-06-13,41.700001,41.700001,41.700001,41.700001,40.498478,225.0
2018-06-14,41.700001,41.700001,41.700001,41.700001,40.498478,350.0
2018-06-15,41.700001,41.700001,41.700001,41.700001,40.498478,475.0
2018-06-18,46.330002,47.0,46.330002,47.0,45.645763,600.0
2018-06-19,44.700001,44.700001,44.139999,44.139999,42.868168,1000.0
2018-06-20,44.139999,44.139999,44.139999,44.139999,42.868168,887.5
2018-06-21,44.139999,44.139999,44.139999,44.139999,42.868168,775.0
2018-06-22,44.139999,44.139999,44.139999,44.139999,42.868168,662.5
2018-06-25,44.139999,44.139999,44.139999,44.139999,42.868168,550.0
2018-06-26,44.139999,44.139999,44.139999,44.139999,42.868168,437.5
2018-06-27,44.139999,44.139999,44.139999,44.139999,42.868168,325.0
2018-06-28,44.139999,44.139999,44.139999,44.139999,42.868168,212.5
2018-06-29,43.5,43.5,43.5,43.5,42.246613,100.0
2018-07-02,42.200001,42.200001,42.200001,42.200001,40.98407,100.0
2018-07-03,42.200001,42.200001,42.200001,42.200001,40.98407,133.33333333333334
2018-07-05,42.200001,42.200001,42.200001,42.200001,40.98407,166.66666666666669
2018-07-06,42.200001,42.200001,42.200001,42.200001,40.98407,200.0
2018-07-09,42.200001,42.200001,42.200001,42.200001,40.98407,233.33333333333334
2018-07-10,42.200001,42.200001,42.200001,42.200001,40.98407,266.6666666666667
2018-07-11,42.200001,42.200001,42.200001,42.200001,40.98407,300.0
2018-07-12,42.200001,42.200001,42.200001,42.200001,40.98407,333.33333333333337
2018-07-13,42.200001,42.200001,42.200001,42.200001,40.98407,366.6666666666667
2018-07-16,42.200001,42.200001,42.200001,42.200001,40.98407,400.0
2018-07-17,42.200001,42.200001,42.200001,42.200001,40.98407,433.33333333333337
2018-07-18,42.200001,42.200001,42.200001,42.200001,40.98407,466.6666666666667
2018-07-19,42.200001,42.200001,42.200001,42.200001,40.98407,500.0
2018-07-20,42.200001,42.200001,42.200001,42.200001,40.98407,533.3333333333334
2018-07-23,42.200001,42.200001,42.200001,42.200001,40.98407,566.6666666666667
2018-07-24,42.200001,42.200001,42.200001,42.200001,40.98407,600.0
2018-07-25,42.200001,42.200001,42.200001,42.200001,40.98407,633.3333333333334
2018-07-26,42.200001,42.200001,42.200001,42.200001,40.98407,666.6666666666667
2018-07-27,42.200001,42.200001,42.200001,42.200001,40.98407,700.0
2018-07-30,42.200001,42.200001,42.200001,42.200001,40.98407,733.3333333333334
2018-07-31,42.200001,42.200001,42.200001,42.200001,40.98407,766.6666666666667
2018-08-01,54.25,54.25,54.25,54.25,52.686867,800.0
2018-08-02,54.25,54.25,54.25,54.25,52.686867,813.0434782608696
2018-08-03,54.25,54.25,54.25,54.25,52.686867,826.0869565217391
2018-08-06,54.25,54.25,54.25,54.25,52.686867,839.1304347826087
2018-08-07,54.25,54.25,54.25,54.25,52.686867,852.1739130434783
2018-08-08,54.25,54.25,54.25,54.25,52.686867,865.2173913043479
2018-08-09,54.25,54.25,54.25,54.25,52.686867,878.2608695652174
2018-08-10,54.25,54.25,54.25,54.25,52.686867,891.304347826087
2018-08-13,54.25,54.25,54.25,54.25,52.686867,904.3478260869565
2018-08-14,54.25,54.25,54.25,54.25,52.686867,917.3913043478261
2018-08-15,54.25,54.25,54.25,54.25,52.686867,930.4347826086956
2018-08-16,54.25,54.25,54.25,54.25,52.686867,943.4782608695652
2018-08-17,54.25,54.25,54.25,54.25,52.686867,956.5217391304348
2018-08-20,54.25,54.25,54.25,54.25,52.686867,969.5652173913044
2018-08-21,54.25,54.25,54.25,54.25,52.686867,982.6086956521739
2018-08-22,54.25,54.25,54.25,54.25,52.686867,995.6521739130435
2018-08-23,54.25,54.25,54.25,54.25,52.686867,1008.695652173913
2018-08-24,54.25,54.25,54.25,54.25,52.686867,1021.7391304347826
2018-08-27,54.25,54.25,54.25,54.25,52.686867,1034.7826086956522
2018-08-28,54.25,54.25,54.25,54.25,52.686867,1047.8260869565217
2018-08-29,54.25,54.25,54.25,54.25,52.686867,1060.8695652173913
2018-08-30,54.25,54.25,54.25,54.25,52.686867,1073.913043478261
2018-08-31,54.25,54.25,54.25,54.25,52.686867,1086.9565217391305
2018-09-04,53.0,53.0,52.75,52.75,51.230087,1100.0
2018-09-05,52.75,52.75,52.75,52.75,51.230087,1036.3636363636363
2018-09-06,52.75,52.75,52.75,52.75,51.230087,972.7272727272727
2018-09-07,52.75,52.75,52.75,52.75,51.230087,909.0909090909091
2018-09-10,52.75,52.75,52.75,52.75,51.230087,845.4545454545455
2018-09-11,52.75,52.75,52.75,52.75,51.230087,781.8181818181818
2018-09-12,52.75,52.75,52.75,52.75,51.230087,718.1818181818182
2018-09-13,52.75,52.75,52.75,52.75,51.230087,654.5454545454545
2018-09-14,52.75,52.75,52.75,52.75,51.230087,590.909090909091
2018-09-17,52.75,52.75,52.75,52.75,51.230087,527.2727272727273
2018-09-18,52.75,52.75,52.75,52.75,51.230087,463.6363636363636
2018-09-19,52.529999,52.529999,51.849998,51.849998,50.356018,400.0
2018-09-20,51.849998,51.849998,51.849998,51.849998,50.356018,333.3333333333333
2018-09-21,51.849998,51.849998,51.849998,51.849998,50.356018,266.66666666666663
2018-09-24,52.0,52.0,52.0,52.0,50.501698,200.0
2018-09-25,52.0,52.0,52.0,52.0,50.501698,190.0
2018-09-26,52.0,52.0,52.0,52.0,50.501698,180.0
2018-09-27,52.0,52.0,52.0,52.0,50.501698,170.0
2018-09-28,52.0,52.0,52.0,52.0,50.501698,160.0
2018-10-01,52.0,52.0,52.0,52.0,50.501698,150.0
2018-10-02,52.0,52.0,52.0,52.0,50.501698,140.0
2018-10-03,52.0,52.0,52.0,52.0,50.501698,130.0
2018-10-04,52.0,52.0,52.0,52.0,50.501698,120.0
2018-10-05,52.0,52.0,52.0,52.0,50.501698,110.0
2018-10-08,46.0,46.0,46.0,46.0,44.674576,100.0
2018-10-09,46.0,46.0,46.0,46.0,44.674576,166.66666666666669
2018-10-10,46.0,46.0,46.0,46.0,44.674576,233.33333333333334
2018-10-11,41.41,41.41,41.41,41.41,40.216831,300.0
2018-10-12,41.41,41.41,41.41,41.41,40.216831,250.0
2018-10-15,41.41,41.41,41.41,41.41,40.216831,200.0
2018-10-16,41.41,41.41,41.41,41.41,40.216831,150.0
2018-10-17,44.400002,44.400002,44.400002,44.400002,43.120682,100.0
2018-10-18,44.400002,44.400002,44.400002,44.400002,43.120682,100.0
2018-10-19,44.400002,44.400002,44.400002,44.400002,43.120682,100.0
2018-10-22,44.400002,44.400002,44.400002,44.400002,43.120682,100.0
2018-10-23,44.400002,44.400002,44.400002,44.400002,43.120682,100.0
2018-10-24,44.400002,44.400002,44.400002,44.400002,43.120682,100.0
2018-10-25,44.400002,44.400002,44.400002,44.400002,43.120682,100.0
2018-10-26,44.400002,44.400002,44.400002,44.400002,43.120682,100.0
2018-10-29,44.400002,44.400002,44.400002,44.400002,43.120682,100.0
2018-10-30,44.400002,44.400002,44.400002,44.400002,43.120682,100.0
2018-10-31,44.400002,44.400002,44.400002,44.400002,43.120682,100.0
2018-11-01,42.0,42.0,42.0,42.0,40.789833,100.0
2018-11-02,42.0,42.0,42.0,42.0,40.789833,100.0
2018-11-05,42.0,42.0,42.0,42.0,40.789833,100.0
2018-11-06,42.0,42.0,42.0,42.0,40.789833,100.0
2018-11-07,42.0,42.0,42.0,42.0,40.789833,100.0
2018-11-08,42.0,42.0,42.0,42.0,40.789833,100.0
2018-11-09,39.439999,39.439999,39.439999,39.439999,38.303593,100.0
2018-11-12,39.439999,39.439999,39.439999,39.439999,38.303593,133.33333333333334
2018-11-13,39.439999,39.439999,39.439999,39.439999,38.303593,166.66666666666669
2018-11-14,39.439999,39.439999,39.439999,39.439999,38.303593,200.0
2018-11-15,39.439999,39.439999,39.439999,39.439999,38.303593,233.33333333333334
2018-11-16,39.439999,39.439999,39.439999,39.439999,38.303593,266.6666666666667
2018-11-19,39.439999,39.439999,39.439999,39.439999,38.303593,300.0
2018-11-20,39.439999,39.439999,39.439999,39.439999,38.303593,333.33333333333337
2018-11-21,39.439999,39.439999,39.439999,39.439999,38.303593,366.6666666666667
2018-11-23,39.439999,39.439999,39.439999,39.439999,38.303593,400.0
2018-11-26,39.439999,39.439999,39.439999,39.439999,38.303593,433.33333333333337
2018-11-27,39.439999,39.439999,39.439999,39.439999,38.303593,466.6666666666667
2018-11-28,37.299999,37.299999,37.299999,37.299999,36.225254,500.0
2018-11-29,37.299999,37.299999,37.299999,37.299999,36.225254,487.5
2018-11-30,37.299999,37.299999,37.299999,37.299999,36.225254,475.0
2018-12-03,37.299999,37.299999,37.299999,37.299999,36.225254,462.5
2018-12-04,37.299999,37.299999,37.299999,37.299999,36.225254,450.0
2018-12-06,37.299999,37.299999,37.299999,37.299999,36.225254,437.5
2018-12-07,37.299999,37.299999,37.299999,37.299999,36.225254,425.0
2018-12-10,37.299999,37.299999,37.299999,37.299999,36.225254,412.5
2018-12-11,40.0,40.0,40.0,40.0,38.847458,400.0
2018-12-12,37.400002,37.400002,37.400002,37.400002,36.322376,200.0
2018-12-13,37.400002,37.400002,37.400002,37.400002,36.322376,205.55555555555554
2018-12-14,37.400002,37.400002,37.400002,37.400002,36.322376,211.11111111111111
2018-12-17,37.400002,37.400002,37.400002,37.400002,36.322376,216.66666666666666
2018-12-18,37.400002,37.400002,37.400002,37.400002,36.322376,222.22222222222223
2018-12-19,37.400002,37.400002,37.400002,37.400002,36.322376,227.77777777777777
2018-12-20,37.400002,37.400002,37.400002,37.400002,36.322376,233.33333333333331
2018-12-21,37.400002,37.400002,37.400002,37.400002,36.322376,238.88888888888889
2018-12-24,37.400002,37.400002,37.400002,37.400002,36.322376,244.44444444444446
2018-12-26,37.400002,37.400002,37.400002,37.400002,36.322376,250.0
2018-12-27,37.400002,37.400002,37.400002,37.400002,36.322376,255.55555555555554
2018-12-28,37.400002,37.400002,37.400002,37.400002,36.322376,261.1111111111111
2018-12-31,37.400002,37.400002,37.400002,37.400002,36.322376,266.66666666666663
2019-01-02,37.400002,37.400002,37.400002,37.400002,36.322376,272.22222222222223
2019-01-03,37.400002,37.400002,37.400002,37.400002,36.322376,277.77777777777777
2019-01-04,37.400002,37.400002,37.400002,37.400002,36.322376,283.3333333333333
2019-01-07,37.400002,37.400002,37.400002,37.400002,36.322376,288.8888888888889
2019-01-08,37.400002,37.400002,37.400002,37.400002,36.322376,294.44444444444446
2019-01-09,44.080002,44.080002,44.080002,44.080002,42.809902,300.0
2019-01-10,44.080002,44.080002,44.080002,44.080002,42.809902,318.1818181818182
2019-01-11,44.080002,44.080002,44.080002,44.080002,42.809902,336.3636363636364
2019-01-14,44.080002,44.080002,44.080002,44.080002,42.809902,354.54545454545456
2019-01-15,44.080002,44.080002,44.080002,44.080002,42.809902,372.72727272727275
2019-01-16,44.080002,44.080002,44.080002,44.080002,42.809902,390.90909090909093
